6/5 13:40:17.137  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,0
6/5 13:41:06.321  SPELL_CAST_SUCCESS,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,167381,"Dummy Strike",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:06.321  SPELL_DAMAGE,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,167381,"Dummy Strike",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,12767,0,1,0,0,0,nil,nil,nil
6/5 13:41:06.425  SPELL_CAST_FAILED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,23881,"Bloodthirst",0x1,"Not yet recovered"
6/5 13:41:06.876  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,1719,"Battle Cry",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:06.876  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,215572,"Frothing Berserker",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:06.876  SPELL_AURA_APPLIED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,215572,"Frothing Berserker",0x1,BUFF
6/5 13:41:06.876  SPELL_ENERGIZE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,1719,"Battle Cry",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,100,0,1,0
6/5 13:41:06.876  SPELL_AURA_APPLIED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,1719,"Battle Cry",0x1,BUFF
6/5 13:41:06.941  SPELL_CAST_FAILED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,1719,"Battle Cry",0x1,"Not yet recovered"
6/5 13:41:07.220  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,388,0,0,nil
6/5 13:41:07.220  SWING_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,8100,0,1,0,0,0,1,nil,nil
6/5 13:41:07.488  SPELL_CAST_FAILED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,184367,"Rampage",0x1,"Not yet recovered"
6/5 13:41:07.577  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,184367,"Rampage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:07.577  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,184362,"Enrage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:07.577  SPELL_AURA_APPLIED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,184362,"Enrage",0x1,BUFF
6/5 13:41:07.631  SPELL_CAST_FAILED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,184367,"Rampage",0x1,"Not yet recovered"
6/5 13:41:07.751  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,547,0,0,nil
6/5 13:41:07.751  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,218617,"Rampage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,11413,0,1,0,0,0,1,nil,nil
6/5 13:41:07.911  SPELL_CAST_FAILED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,184367,"Rampage",0x1,"Not yet recovered"
6/5 13:41:07.934  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,184707,"Rampage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:07.934  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,844,0,0,nil
6/5 13:41:07.935  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,184707,"Rampage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,17634,0,1,0,0,0,1,nil,nil
6/5 13:41:08.048  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,107574,"Avatar",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:08.048  SPELL_AURA_APPLIED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,107574,"Avatar",0x1,BUFF
6/5 13:41:08.104  SPELL_CAST_FAILED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,190411,"Whirlwind",0x1,"Not yet recovered"
6/5 13:41:08.212  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,1308,0,0,nil
6/5 13:41:08.212  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,184709,"Rampage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,27319,0,1,0,0,0,1,nil,nil
6/5 13:41:08.285  SPELL_CAST_FAILED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,190411,"Whirlwind",0x1,"Not yet recovered"
6/5 13:41:08.833  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,201364,"Rampage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:08.833  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,1913,0,0,nil
6/5 13:41:08.833  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,201364,"Rampage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,39938,0,1,0,0,0,1,nil,nil
6/5 13:41:08.833  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,2401,0,0,nil
6/5 13:41:08.833  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,201363,"Rampage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,50147,0,1,0,0,0,1,nil,nil
6/5 13:41:08.926  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,18499,"Berserker Rage",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:08.926  SPELL_AURA_APPLIED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,18499,"Berserker Rage",0x1,BUFF
6/5 13:41:09.132  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,190411,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:09.132  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,199667,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:09.132  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,510,0,0,nil
6/5 13:41:09.132  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,199667,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,10651,0,1,0,0,0,1,nil,nil
6/5 13:41:09.132  SPELL_AURA_APPLIED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,85739,"Meat Cleaver",0x1,BUFF
6/5 13:41:09.132  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,583,0,0,nil
6/5 13:41:09.132  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-87318-00000AD916,"Dungeoneer's Training Dummy",0xa28,0x0,199667,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,12174,0,1,0,0,0,1,nil,nil
6/5 13:41:09.132  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,44949,"Whirlwind Off-Hand",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:09.132  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,269,0,0,nil
6/5 13:41:09.132  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,44949,"Whirlwind Off-Hand",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,5626,0,1,0,0,0,1,nil,nil
6/5 13:41:09.132  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,292,0,0,nil
6/5 13:41:09.132  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-87318-00000AD916,"Dungeoneer's Training Dummy",0xa28,0x0,44949,"Whirlwind Off-Hand",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,6089,0,1,0,0,0,1,nil,nil
6/5 13:41:09.287  SPELL_CAST_FAILED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,190411,"Whirlwind",0x1,"Not yet recovered"
6/5 13:41:09.368  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,199667,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:09.368  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,503,0,0,nil
6/5 13:41:09.368  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,199667,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,10508,0,1,0,0,0,1,nil,nil
6/5 13:41:09.368  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,592,0,0,nil
6/5 13:41:09.368  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-87318-00000AD916,"Dungeoneer's Training Dummy",0xa28,0x0,199667,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,12363,0,1,0,0,0,1,nil,nil
6/5 13:41:09.368  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,44949,"Whirlwind Off-Hand",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:09.368  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,267,0,0,nil
6/5 13:41:09.368  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,44949,"Whirlwind Off-Hand",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,5582,0,1,0,0,0,1,nil,nil
6/5 13:41:09.368  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,302,0,0,nil
6/5 13:41:09.368  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-87318-00000AD916,"Dungeoneer's Training Dummy",0xa28,0x0,44949,"Whirlwind Off-Hand",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,6314,0,1,0,0,0,1,nil,nil
6/5 13:41:09.429  SPELL_CAST_FAILED,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,190411,"Whirlwind",0x1,"Not yet recovered"
6/5 13:41:09.554  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,199667,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
6/5 13:41:09.554  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,500,0,0,nil
6/5 13:41:09.554  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-88314-00000AD917,"Dungeoneer's Training Dummy",0x10a28,0x0,199667,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,10433,0,1,0,0,0,1,nil,nil
6/5 13:41:09.554  SPELL_HEAL,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,146347,"Life Steal",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,565,0,0,nil
6/5 13:41:09.554  SPELL_DAMAGE,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,Creature-0-12-1159-0-87318-00000AD916,"Dungeoneer's Training Dummy",0xa28,0x0,199667,"Whirlwind",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,11791,0,1,0,0,0,1,nil,nil
6/5 13:41:09.554  SPELL_CAST_SUCCESS,Player-9-001C768E,"Ivkomdfk-evermoon",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,44949,"Whirlwind Off-Hand",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
